step,epoch,val_loss
0,0,21.98078727722168
1,1,20.237812042236328
2,2,18.58552360534668
3,3,17.026512145996094
4,4,15.556497573852539
5,5,14.173367500305176
6,6,12.875407218933105
7,7,11.659950256347656
8,8,10.523974418640137
9,9,9.465791702270508
10,10,8.484085083007812
11,11,7.5756096839904785
12,12,6.737443447113037
13,13,5.966516017913818
14,14,5.260396957397461
15,15,4.615548610687256
16,16,4.028250217437744
17,17,3.496319532394409
18,18,3.0168380737304688
19,19,2.5865635871887207
20,20,2.203132390975952
21,21,1.8627055883407593
22,22,1.5628389120101929
23,23,1.3008990287780762
24,24,1.0740422010421753
25,25,0.8790035247802734
26,26,0.7128931879997253
27,27,0.5735618472099304
28,28,0.45803242921829224
29,29,0.3639102578163147
30,30,0.2887965142726898
31,31,0.2302805483341217
32,32,0.1861262172460556
33,33,0.15412843227386475
34,34,0.13229158520698547
35,35,0.1188596710562706
36,36,0.11215728521347046
37,37,0.11069943755865097
38,38,0.11311910301446915
39,39,0.11822646111249924
40,40,0.12509730458259583
41,41,0.13278239965438843
42,42,0.14065514504909515
43,43,0.148207888007164
44,44,0.1550326943397522
45,45,0.16087545454502106
46,46,0.1654108762741089
47,47,0.16865496337413788
