epoch,mse,mape,step,val_loss,r2,r2_epoch,mape_epoch,train_loss_epoch,mse_epoch
0,0.39270567893981934,1.4801839590072632,0,0.39270567893981934,-2.777923583984375,,,,
0,,,0,,,-10.436290740966797,4.6222052574157715,1.3147218227386475,1.314721941947937
1,0.29174181818962097,1.2820618152618408,1,0.29174181818962097,-1.806626558303833,,,,
1,,,1,,,-9.684027671813965,3.406524419784546,1.2282415628433228,1.2282414436340332
2,0.21563319861888885,1.6608383655548096,2,0.21563319861888885,-1.0744435787200928,,,,
2,,,2,,,-9.272212028503418,4.42837381362915,1.1808984279632568,1.1808983087539673
3,0.16278989613056183,2.1562411785125732,3,0.16278989613056183,-0.5660780668258667,,,,
3,,,3,,,-7.159811019897461,4.4734787940979,0.9380557537078857,0.9380557537078857
4,0.13101308047771454,2.685580015182495,4,0.13101308047771454,-0.2603774070739746,,,,
4,,,4,,,-7.240107536315918,4.761312484741211,0.9472870826721191,0.9472872018814087
5,0.11522378772497177,3.18192458152771,5,0.11522378772497177,-0.10848069190979004,,,,
5,,,5,,,-7.43961238861084,5.405786037445068,0.9702218770980835,0.9702218770980835
6,0.11055576801300049,3.621800661087036,6,0.11055576801300049,-0.06357324123382568,,,,
6,,,6,,,-7.314052581787109,6.321200847625732,0.9557880163192749,0.9557880163192749
7,0.11233747005462646,3.980870008468628,7,0.11233747005462646,-0.08071362972259521,,,,
7,,,7,,,-6.7949090003967285,7.191741943359375,0.8961068391799927,0.8961068391799927
8,0.11669733375310898,4.256051540374756,8,0.11669733375310898,-0.12265658378601074,,,,
8,,,8,,,-7.187107086181641,6.8440656661987305,0.9411937594413757,0.9411937594413757
9,0.12118065357208252,4.449481964111328,9,0.12118065357208252,-0.16578710079193115,,,,
9,,,9,,,-6.9698333740234375,6.960174560546875,0.9162161946296692,0.9162161946296692
