epoch,step,val_loss
0,0,0.12954746186733246
1,1,0.12331201881170273
2,2,0.11928331851959229
3,3,0.11626750230789185
4,4,0.11409121006727219
5,5,0.11288584768772125
6,6,0.11197555065155029
7,7,0.11136656254529953
8,8,0.11106151342391968
9,9,0.11083221435546875
10,10,0.11064819246530533
11,11,0.11068985611200333
12,12,0.11097675561904907
13,13,0.11134137958288193
14,14,0.11179604381322861
15,15,0.11221645027399063
16,16,0.11256533116102219
17,17,0.1128133088350296
18,18,0.11288248747587204
19,19,0.11281545460224152
20,20,0.11257493495941162
