epoch,step,val_loss
0,0,17.09572410583496
1,1,15.631494522094727
2,2,14.247130393981934
3,3,12.94146728515625
4,4,11.710692405700684
5,5,10.555485725402832
6,6,9.475175857543945
7,7,8.467907905578613
8,8,7.529730319976807
9,9,6.660530090332031
10,10,5.859623908996582
11,11,5.1233649253845215
12,12,4.451941967010498
13,13,3.8402411937713623
14,14,3.287473440170288
15,15,2.7913877964019775
16,16,2.3489325046539307
17,17,1.958168864250183
18,18,1.6151970624923706
19,19,1.317570686340332
20,20,1.0619312524795532
21,21,0.8450815081596375
22,22,0.6643808484077454
23,23,0.5162394046783447
24,24,0.397337406873703
25,25,0.30429932475090027
26,26,0.2335314303636551
27,27,0.18173764646053314
28,28,0.14570929110050201
29,29,0.12278039753437042
30,30,0.1101241335272789
31,31,0.10532739013433456
32,32,0.10608430206775665
33,33,0.11043702811002731
34,34,0.11685983091592789
35,35,0.12398598343133926
36,36,0.1306726336479187
37,37,0.13618099689483643
38,38,0.14021335542201996
39,39,0.14255915582180023
40,40,0.1429864466190338
41,41,0.14193807542324066
