r2,step,val_loss,epoch,mse,mape,train_loss_epoch,mse_epoch,mape_epoch,r2_epoch
-8.161450386047363,0,1.1011208295822144,0,1.1011207103729248,4.1319146156311035,,,,
,0,,0,,,1.2830557823181152,1.2830557823181152,4.338002681732178,-9.958667755126953
-7.267627716064453,1,0.9936914443969727,1,0.9936914443969727,3.7835052013397217,,,,
,1,,1,,,1.1506911516189575,1.1506911516189575,4.661370754241943,-8.828132629394531
-6.440095901489258,2,0.8942298889160156,2,0.8942298889160156,3.441528797149658,,,,
,2,,2,,,1.053507685661316,1.053507685661316,3.908338785171509,-7.998081207275391
-5.677073001861572,3,0.8025217056274414,3,0.8025217056274414,3.1064460277557373,,,,
,3,,3,,,0.9522616267204285,0.9522615671157837,3.658677339553833,-7.133331298828125
-4.975334644317627,4,0.7181793451309204,4,0.7181793451309204,2.7781198024749756,,,,
,4,,4,,,0.8507716059684753,0.8507716059684753,3.6071994304656982,-6.266498565673828
-4.332278251647949,5,0.6408899426460266,5,0.6408899426460266,2.4566547870635986,,,,
,5,,5,,,0.7672989964485168,0.7672989368438721,2.9123477935791016,-5.55355167388916
-3.7462587356567383,6,0.5704559683799744,6,0.5704559087753296,2.1446571350097656,,,,
,6,,6,,,0.6900472044944763,0.6900471448898315,2.823603868484497,-4.893739700317383
-3.2144131660461426,7,0.5065330862998962,7,0.5065330266952515,1.840584397315979,,,,
,7,,7,,,0.6446336507797241,0.6446335911750793,2.556962728500366,-4.505859851837158
-2.7336153984069824,8,0.44874563813209534,8,0.44874563813209534,1.5506248474121094,,,,
,8,,8,,,0.5702708959579468,0.5702708959579468,2.6350009441375732,-3.870722770690918
-2.3019909858703613,9,0.39686843752861023,9,0.39686843752861023,1.2775979042053223,,,,
,9,,9,,,0.5353811383247375,0.5353811383247375,2.193732261657715,-3.572727680206299
