epoch,step,val_loss,train_loss
0,0,0.17880068719387054,
1,1,0.16391251981258392,
2,2,0.1530994027853012,
3,3,0.14583797752857208,
4,4,0.14148692786693573,
5,5,0.13918355107307434,
6,6,0.13819418847560883,
7,7,0.13797526061534882,
8,8,0.13815930485725403,
9,9,0.13842706382274628,
10,10,0.1386118233203888,
11,11,0.13857094943523407,
12,12,0.13831089437007904,
13,13,0.1378842145204544,
14,14,0.1372603178024292,
15,15,0.13648629188537598,
16,16,0.13572052121162415,
17,17,0.13489516079425812,
18,18,0.1341911405324936,
19,19,0.13348674774169922,
20,20,0.13281452655792236,
21,21,0.13228212296962738,
22,22,0.13182388246059418,
23,23,0.1313406527042389,
24,24,0.1308286190032959,
25,25,0.13032746315002441,
26,26,0.12988141179084778,
27,27,0.12949030101299286,
28,28,0.12914471328258514,
29,29,0.1288219839334488,
30,30,0.12851494550704956,
31,31,0.12822853028774261,
32,32,0.1279589980840683,
33,33,0.1277044266462326,
34,34,0.12747089564800262,
35,35,0.12725929915905,
36,36,0.12705300748348236,
37,37,0.12687158584594727,
38,38,0.12671120464801788,
39,39,0.12655304372310638,
40,40,0.12639234960079193,
41,41,0.1262206882238388,
42,42,0.12607470154762268,
43,43,0.12591896951198578,
44,44,0.12575653195381165,
45,45,0.12560005486011505,
46,46,0.12543885409832,
47,47,0.1252661794424057,
48,48,0.12508802115917206,
49,49,,0.18194080889225006
49,49,0.12489952892065048,
50,50,0.12471318244934082,
51,51,0.12452361732721329,
52,52,0.12432537227869034,
53,53,0.1241317018866539,
54,54,0.12394463270902634,
55,55,0.12375729531049728,
56,56,0.123574398458004,
57,57,0.123404860496521,
58,58,0.12325198948383331,
59,59,0.12310798466205597,
60,60,0.12296643108129501,
61,61,0.12283544987440109,
62,62,0.12270522117614746,
63,63,0.12258118391036987,
64,64,0.1224585771560669,
65,65,0.12233781069517136,
66,66,0.12223074585199356,
67,67,0.1221306100487709,
68,68,0.12203409522771835,
69,69,0.12195315212011337,
70,70,0.1218690425157547,
71,71,0.12179359048604965,
72,72,0.12172768265008926,
