epoch,step,val_loss
0,0,27.619098663330078
1,1,25.034727096557617
2,2,22.835237503051758
3,3,20.78486442565918
4,4,18.85325050354004
5,5,17.035079956054688
6,6,15.330833435058594
7,7,13.737283706665039
8,8,12.254260063171387
9,9,10.877547264099121
10,10,9.602982521057129
11,11,8.42794132232666
12,12,7.3501739501953125
13,13,6.366038799285889
14,14,5.472081661224365
15,15,4.6617960929870605
16,16,3.9341354370117188
17,17,3.284564971923828
18,18,2.710099935531616
19,19,2.2065954208374023
20,20,1.770973563194275
21,21,1.3986657857894897
22,22,1.0845263004302979
23,23,0.8243709802627563
24,24,0.6128281950950623
25,25,0.44532090425491333
26,26,0.31750378012657166
27,27,0.22516857087612152
28,28,0.16322313249111176
29,29,0.12709593772888184
30,30,0.11209147423505783
31,31,0.1138361319899559
32,32,0.12832336127758026
33,33,0.1521630734205246
34,34,0.1818293184041977
35,35,0.21451668441295624
36,36,0.24741461873054504
37,37,0.2788962423801422
38,38,0.307038277387619
39,39,0.33051595091819763
40,40,0.3491520583629608
