val_loss,step,epoch,train_loss
11.384222984313965,0,0,
10.814814567565918,1,1,
10.270098686218262,2,2,
9.750388145446777,3,3,
9.253703117370605,4,4,
8.770962715148926,5,5,
8.28650188446045,6,6,
7.8240532875061035,7,7,
7.383563995361328,8,8,
6.964413642883301,9,9,
6.5653839111328125,10,10,
6.185824871063232,11,11,
5.824958324432373,12,12,
5.481771945953369,13,13,
5.155965805053711,14,14,
4.8470940589904785,15,15,
4.553993225097656,16,16,
4.2757487297058105,17,17,
4.011611461639404,18,18,
3.76086688041687,19,19,
3.522916555404663,20,20,
3.2969346046447754,21,21,
3.082568883895874,22,22,
2.879564046859741,23,23,
2.6871418952941895,24,24,
2.5049493312835693,25,25,
2.3323562145233154,26,26,
2.1690127849578857,27,27,
2.0147125720977783,28,28,
1.8691673278808594,29,29,
1.7318998575210571,30,30,
1.6025269031524658,31,31,
1.4805034399032593,32,32,
1.3659433126449585,33,33,
1.2583454847335815,34,34,
1.1574534177780151,35,35,
1.0630093812942505,36,36,
0.9749132394790649,37,37,
0.8927695155143738,38,38,
0.8162779808044434,39,39,
0.74531489610672,40,40,
0.6797887682914734,41,41,
0.6192311644554138,42,42,
0.5635315775871277,43,43,
0.5124622583389282,44,44,
0.4658290445804596,45,45,
0.4234023094177246,46,46,
0.38494062423706055,47,47,
0.35037022829055786,48,48,
,49,49,0.48023927211761475
0.31935811042785645,49,49,
0.2916770875453949,50,50,
0.2670823633670807,51,51,
0.24546396732330322,52,52,
0.22645173966884613,53,53,
0.20992854237556458,54,54,
0.1956336796283722,55,55,
0.1834460347890854,56,56,
0.17308680713176727,57,57,
0.16436703503131866,58,58,
0.15711534023284912,59,59,
0.151153564453125,60,60,
0.14629089832305908,61,61,
0.1423249989748001,62,62,
0.13914647698402405,63,63,
0.13663546741008759,64,64,
0.13468213379383087,65,65,
0.13317620754241943,66,66,
0.13203071057796478,67,67,
0.13115602731704712,68,68,
0.13051056861877441,69,69,
0.1300477534532547,70,70,
0.12971432507038116,71,71,
0.12947909533977509,72,72,
0.1293196976184845,73,73,
0.12922345101833344,74,74,
0.12917494773864746,75,75,
0.1291692703962326,76,76,
0.12919878959655762,77,77,
0.12925834953784943,78,78,
0.12935082614421844,79,79,
0.129470095038414,80,80,
0.129625603556633,81,81,
0.12983310222625732,82,82,
0.13007986545562744,83,83,
0.13036291301250458,84,84,
0.1306971162557602,85,85,
0.1310739815235138,86,86,
