r2,step,val_loss,epoch,mse,mape,train_loss_epoch,mse_epoch,mape_epoch,r2_epoch
-12.021430015563965,0,1.6231430768966675,0,1.6231430768966675,12.760587692260742,,,,
,0,,0,,,2.8511157035827637,2.8511157035827637,16.556676864624023,-23.129337310791016
-9.572443962097168,1,1.3178728818893433,1,1.3178728818893433,11.720970153808594,,,,
,1,,1,,,2.5244956016540527,2.5244951248168945,13.167149543762207,-20.3651123046875
-7.44797420501709,2,1.0530540943145752,2,1.0530540943145752,10.705118179321289,,,,
,2,,2,,,2.0780739784240723,2.0780742168426514,10.725292205810547,-16.586994171142578
-5.630030155181885,3,0.8264443278312683,3,0.8264443278312683,9.713412284851074,,,,
,3,,3,,,1.8140743970870972,1.8140743970870972,10.64677619934082,-14.352733612060547
-4.1051836013793945,4,0.6363696455955505,4,0.6363696455955505,8.751620292663574,,,,
,4,,4,,,1.4698296785354614,1.4698295593261719,11.115288734436035,-11.439350128173828
-2.8596351146698,5,0.48110994696617126,5,0.48110994696617126,7.826831340789795,,,,
,5,,5,,,1.2195876836776733,1.2195876836776733,10.859857559204102,-9.321517944335938
-1.8693640232086182,6,0.35767102241516113,6,0.35767102241516113,6.939811706542969,,,,
,6,,6,,,1.0408759117126465,1.0408759117126465,9.68372917175293,-7.809062957763672
-1.1158802509307861,7,0.26374801993370056,7,0.26374801993370056,6.101939678192139,,,,
,7,,7,,,0.883811891078949,0.883811891078949,9.50755500793457,-6.479809761047363
-0.5749717950820923,8,0.19632285833358765,8,0.19632285833358765,5.32240629196167,,,,
,8,,8,,,0.8345009088516235,0.8345009088516235,6.670262336730957,-6.062483310699463
-0.22356808185577393,9,0.1525198072195053,9,0.1525198072195053,4.6089606285095215,,,,
,9,,9,,,0.6641474366188049,0.6641474366188049,6.671466827392578,-4.620760440826416
