epoch,step,val_loss,train_loss
0,0,14.963665962219238,
1,1,14.096521377563477,
2,2,13.269258499145508,
3,3,12.480998039245605,
4,4,11.732927322387695,
5,5,11.032515525817871,
6,6,10.398417472839355,
7,7,9.804831504821777,
8,8,9.24142074584961,
9,9,8.704329490661621,
10,10,8.193106651306152,
11,11,7.706679821014404,
12,12,7.244873046875,
13,13,6.806743144989014,
14,14,6.391143321990967,
15,15,5.997317790985107,
16,16,5.6238322257995605,
17,17,5.270444393157959,
18,18,4.936811447143555,
19,19,4.621680736541748,
20,20,4.324317455291748,
21,21,4.043582439422607,
22,22,3.778773546218872,
23,23,3.5296790599823,
24,24,3.294933319091797,
25,25,3.074744939804077,
26,26,2.8680419921875,
27,27,2.6741654872894287,
28,28,2.4918792247772217,
29,29,2.3208940029144287,
30,30,2.160654067993164,
31,31,2.0104846954345703,
32,32,1.8702133893966675,
33,33,1.7390682697296143,
34,34,1.6164038181304932,
35,35,1.5017026662826538,
36,36,1.3943787813186646,
37,37,1.2940349578857422,
38,38,1.2002581357955933,
39,39,1.11294686794281,
40,40,1.0316087007522583,
41,41,0.9557291269302368,
42,42,0.885124146938324,
43,43,0.8194980621337891,
44,44,0.7585057616233826,
45,45,0.7018973231315613,
46,46,0.6493763327598572,
47,47,0.600829541683197,
48,48,0.5559391975402832,
49,49,,1.0772608518600464
49,49,0.5144392251968384,
50,50,0.4762309193611145,
51,51,0.44109874963760376,
52,52,0.40885305404663086,
53,53,0.3791971504688263,
54,54,0.35202541947364807,
55,55,0.3271131217479706,
56,56,0.30428680777549744,
57,57,0.28338423371315,
58,58,0.26433488726615906,
59,59,0.2469175159931183,
60,60,0.23109404742717743,
61,61,0.21678440272808075,
62,62,0.2038058340549469,
63,63,0.1920403242111206,
64,64,0.18143582344055176,
65,65,0.17187872529029846,
66,66,0.1632523387670517,
67,67,0.1554844230413437,
68,68,0.1485295444726944,
69,69,0.14234976470470428,
70,70,0.13686314225196838,
71,71,0.13199497759342194,
72,72,0.12767402827739716,
73,73,0.12383856624364853,
74,74,0.12041940540075302,
75,75,0.11742597818374634,
76,76,0.1147933229804039,
77,77,0.1124785915017128,
78,78,0.11043264716863632,
79,79,0.10862153768539429,
80,80,0.10703307390213013,
81,81,0.10563748329877853,
82,82,0.10443618148565292,
83,83,0.10340122133493423,
84,84,0.10253317654132843,
85,85,0.10177429765462875,
86,86,0.10112988203763962,
87,87,0.10057764500379562,
88,88,0.10010500252246857,
89,89,0.09970106929540634,
90,90,0.09934736043214798,
91,91,0.0990435779094696,
92,92,0.0987825021147728,
93,93,0.0985499694943428,
94,94,0.09835103899240494,
95,95,0.09817861765623093,
96,96,0.09802847355604172,
97,97,0.09789920598268509,
98,98,0.09779588133096695,
99,99,,0.4303407073020935
99,99,0.09771088510751724,
100,100,0.09763845056295395,
101,101,0.0975751206278801,
102,102,0.09752139449119568,
103,103,0.09747564792633057,
104,104,0.09744284301996231,
105,105,0.0974154993891716,
106,106,0.09739256650209427,
107,107,0.0973726138472557,
108,108,0.09735909849405289,
109,109,0.09735343605279922,
110,110,0.09735152870416641,
111,111,0.09735042601823807,
112,112,0.09735508263111115,
113,113,0.0973614975810051,
114,114,0.09736839681863785,
115,115,0.0973743349313736,
116,116,0.09737961739301682,
117,117,0.09738054126501083,
118,118,0.09738024324178696,
119,119,0.09737776964902878,
120,120,0.0973743125796318,
121,121,0.09736912697553635,
