r2,step,val_loss,epoch,mse,mape,train_loss_epoch,mse_epoch,mape_epoch,r2_epoch
-68.29652404785156,0,7.354345798492432,0,7.354345798492432,37.242515563964844,,,,
,0,,0,,,8.594512939453125,8.594512939453125,18.646554946899414,-68.16483306884766
-65.6805419921875,1,7.076714992523193,1,7.076714992523193,36.40880584716797,,,,
,1,,1,,,8.111863136291504,8.111863136291504,19.112703323364258,-64.28068542480469
-63.15876007080078,2,6.80908203125,2,6.80908203125,35.58919906616211,,,,
,2,,2,,,7.8373026847839355,7.837302207946777,18.441438674926758,-62.0711669921875
-60.72602844238281,3,6.550899505615234,3,6.550899505615234,34.782833099365234,,,,
,3,,3,,,7.751245975494385,7.75124454498291,19.128257751464844,-61.37861251831055
-58.386497497558594,4,6.302608489990234,4,6.302608489990234,33.9919548034668,,,,
,4,,4,,,7.259466171264648,7.259466171264648,18.195878982543945,-57.42097091674805
-56.13941955566406,5,6.064128875732422,5,6.064128875732422,33.21721267700195,,,,
,5,,5,,,6.893340587615967,6.893340587615967,15.836599349975586,-54.47455596923828
-53.977970123291016,6,5.834737300872803,6,5.834737300872803,32.45719528198242,,,,
,6,,6,,,6.786588668823242,6.786588668823242,17.056734085083008,-53.61548614501953
-51.90298080444336,7,5.614521503448486,7,5.614521503448486,31.713098526000977,,,,
,7,,7,,,6.409175872802734,6.409175872802734,14.902053833007812,-50.57825469970703
-49.90827178955078,8,5.402825832366943,8,5.402825832366943,30.983625411987305,,,,
,8,,8,,,6.309502124786377,6.309502124786377,16.65125846862793,-49.77609634399414
-47.9902458190918,9,5.199268341064453,9,5.199268341064453,30.268280029296875,,,,
,9,,9,,,6.1272053718566895,6.1272053718566895,16.035423278808594,-48.30905532836914
