r2,step,val_loss,epoch,mse,mape,train_loss_epoch,mse_epoch,mape_epoch,r2_epoch
-8.828195571899414,0,1.0842905044555664,0,1.0842905044555664,5.77847957611084,,,,
,0,,0,,,2.8254852294921875,2.8254852294921875,12.977433204650879,-22.010881423950195
-7.484119415283203,1,0.9360060095787048,1,0.9360060095787048,5.426190376281738,,,,
,1,,1,,,2.4997923374176025,2.4997925758361816,14.94841480255127,-19.35842514038086
-6.26474666595459,2,0.8014793395996094,2,0.8014793395996094,5.0785417556762695,,,,
,2,,2,,,2.149552345275879,2.149552345275879,13.436243057250977,-16.506053924560547
-5.166121006011963,3,0.6802740693092346,3,0.6802740693092346,4.735774517059326,,,,
,3,,3,,,2.054455280303955,2.054455280303955,14.386731147766113,-15.731578826904297
-4.187995433807373,4,0.5723628401756287,4,0.5723628401756287,4.40118932723999,,,,
,4,,4,,,1.785470962524414,1.785470962524414,9.429287910461426,-13.5409574508667
-3.322948455810547,5,0.4769270122051239,5,0.4769270122051239,4.072075843811035,,,,
,5,,5,,,1.6589959859848022,1.6589959859848022,11.090829849243164,-12.510939598083496
-2.5699262619018555,6,0.3938502371311188,6,0.3938502371311188,3.7508652210235596,,,,
,6,,6,,,1.5916483402252197,1.5916483402252197,9.574479103088379,-11.962457656860352
-1.9259097576141357,7,0.3227994441986084,7,0.3227994441986084,3.4412765502929688,,,,
,7,,7,,,1.436083197593689,1.4360829591751099,8.758920669555664,-10.695527076721191
-1.382049798965454,8,0.26279839873313904,8,0.26279839873313904,3.1433353424072266,,,,
,8,,8,,,1.3637397289276123,1.3637397289276123,8.89305305480957,-10.106359481811523
-0.9342057704925537,9,0.21339023113250732,9,0.21339023113250732,2.858657121658325,,,,
,9,,9,,,1.1479233503341675,1.1479233503341675,6.993533134460449,-8.348740577697754
