r2,step,val_loss,epoch,mse,mape,train_loss_epoch,mse_epoch,mape_epoch,r2_epoch
-16.43943977355957,0,2.120792865753174,0,2.120792865753174,12.505950927734375,,,,
,0,,0,,,2.861867904663086,2.861867904663086,17.766328811645508,-22.6021728515625
-14.494589805603027,1,1.8842815160751343,1,1.8842815160751343,11.920892715454102,,,,
,1,,1,,,2.566049337387085,2.566049337387085,16.212867736816406,-20.162521362304688
-12.689682960510254,2,1.6647886037826538,2,1.6647886037826538,11.341713905334473,,,,
,2,,2,,,2.256485939025879,2.256485939025879,15.760478973388672,-17.609514236450195
-11.017799377441406,3,1.461472511291504,3,1.461472511291504,10.767257690429688,,,,
,3,,3,,,2.0147159099578857,2.0147159099578857,13.062402725219727,-15.615606307983398
-9.474634170532227,4,1.273809790611267,4,1.273809790611267,10.196986198425293,,,,
,4,,4,,,1.8936851024627686,1.893684983253479,13.017181396484375,-14.617445945739746
-8.063643455505371,5,1.1022205352783203,5,1.1022205352783203,9.633404731750488,,,,
,5,,5,,,1.641048550605774,1.6410486698150635,14.043128967285156,-12.533930778503418
-6.780514240264893,6,0.946180522441864,6,0.946180522441864,9.076395988464355,,,,
,6,,6,,,1.5045322179794312,1.5045320987701416,11.005203247070312,-11.408060073852539
-5.622988224029541,7,0.8054149746894836,7,0.8054149746894836,8.526786804199219,,,,
,7,,7,,,1.3055284023284912,1.3055284023284912,11.434948921203613,-9.766851425170898
-4.585361480712891,8,0.6792302131652832,8,0.6792302131652832,7.983941078186035,,,,
,8,,8,,,1.2138640880584717,1.2138640880584717,10.205263137817383,-9.010880470275879
-3.6678853034973145,9,0.567656934261322,9,0.5676568746566772,7.451331615447998,,,,
,9,,9,,,1.075203776359558,1.075203776359558,7.344071865081787,-7.867332458496094
