val_loss,epoch,step
0.16690731048583984,0,0
0.15813496708869934,1,1
0.15031085908412933,2,2
0.14346805214881897,3,3
0.13770709931850433,4,4
0.1331416815519333,5,5
0.12975959479808807,6,6
0.12745064496994019,7,7
0.1261269897222519,8,8
0.12551997601985931,9,9
0.12539725005626678,10,10
0.12553313374519348,11,11
0.12574079632759094,12,12
0.1258823424577713,13,13
0.12592603266239166,14,14
0.1258486658334732,15,15
0.12569160759449005,16,16
0.12551696598529816,17,17
0.12538903951644897,18,18
0.1253645420074463,19,19
0.12549643218517303,20,20
0.1258143037557602,21,21
0.1263151913881302,22,22
0.1269875019788742,23,23
0.12778086960315704,24,24
0.12864676117897034,25,25
0.12954382598400116,26,26
0.13043585419654846,27,27
0.131240114569664,28,28
0.1319417953491211,29,29
