val_loss,step,epoch
0.8671630024909973,0,0
0.739115834236145,1,1
0.6245222091674805,2,2
0.5224939584732056,3,3
0.4331183135509491,4,4
0.35590219497680664,5,5
0.2910517752170563,6,6
0.23779921233654022,7,7
0.1954507976770401,8,8
0.16277988255023956,9,9
