val_loss,epoch,step
0.5207258462905884,0,0
0.44682031869888306,1,1
0.38238057494163513,2,2
0.3269939124584198,3,3
0.28041043877601624,4,4
0.24229171872138977,5,5
0.21225324273109436,6,6
0.1896812468767166,7,7
0.17384390532970428,8,8
0.16393445432186127,9,9
0.1591040939092636,10,10
0.1583002656698227,11,11
0.16048933565616608,12,12
0.16463160514831543,13,13
0.16974394023418427,14,14
0.1750205010175705,15,15
0.17985515296459198,16,16
0.18377549946308136,17,17
0.18656867742538452,18,18
0.188085675239563,19,19
0.18846920132637024,20,20
0.18779528141021729,21,21
